Index,ID,Speaker,Phase,TimePhase,Role,Japanese,English,Functions,Aesthetics,User,Vision,Prototyping,CA,ALoK,CSU,GCA,Projective,Regulative,Relational
75,P75,User,1,1,ProductDesigner,えっとー、少なくしてます。,"Well, less.",0,0,1,0,0,0,1,0,0,0,0,0
76,P76,PA,1,1,ProductDesigner,あー、なるほど。すごい。いいな。私もそうしたい。,"Oh, I see. That's great. I like it. I wish I could do that too.",0,0,1,0,0,0,1,0,0,0,0,0
78,P78,PA,1,1,ProductDesigner,あ、入らないですか。,"Oh, you don't want to go in?",0,0,0,0,0,0,1,0,0,0,0,0
80,P80,PA,1,1,ProductDesigner,あ、大丈夫、大丈夫●。置いとこう。よいしょ。じゃあ、話し合おっか。今で得た情報を。よいしょ。,"Oh, it's okay, it's okay. Let's put it down. There we go. Well, let's talk, about the information we just got.",0,0,1,0,0,0,0,1,0,1,0,1
81,P81,PB,1,1,ProductDesigner,〓見る〓？,See it?,0,0,0,0,0,0,0,1,0,0,0,1
82,P82,PA,1,1,ProductDesigner,いや、取りあえずはいいや。,"No, not for now.",0,0,0,0,0,0,0,1,0,1,0,0
83,P83,PC,1,1,ProductDesigner,●一番無難なのZARA●ZARAで取り扱ってる製品調べてみることだよね。,The safest place to start is ZARA - Check out the products ZARA carries.,0,0,0,1,0,1,0,0,0,1,0,0
84,P84,PA,1,1,ProductDesigner,うん。うち、ちょっと、あのー、まとめてみる、プロフィル画面から。,"Yeah, I'll start with the profile screen.",0,0,1,0,0,1,0,1,0,1,0,0
85,P85,PB,1,1,ProductDesigner,●物は少ないみたいだから。,It seems that there are not so many ● things.,0,0,1,1,0,0,0,1,0,0,0,0
86,P86,PA,1,1,ProductDesigner,うん。,Yeah.,0,0,1,1,0,0,0,1,0,0,0,0
87,P87,PB,1,1,ProductDesigner,あんま長財布よりは小さい。,Not...It is smaller than the long wallet.,0,1,1,1,0,0,0,1,0,0,0,0
88,P88,PA,1,1,ProductDesigner,うん、そうだね。思った、うちも。,"Yeah, I know. I thought so, too.",0,1,1,1,0,0,0,1,0,0,0,0
89,P89,PB,1,1,ProductDesigner,それ●。,It●.,0,1,0,1,0,0,0,1,0,0,0,0
90,P90,PC,1,1,ProductDesigner,ちくしょう．昨日，ZARA アプリ消しちゃったんだよな。,"Woops, I deleted ZARA app yesterday.",0,0,1,0,0,0,1,0,0,0,0,0
91,P91,PC,1,1,ProductDesigner,ZARAって基本モード系のイメージあるんだよね。,I imagine that ZARA is is basically a mode type.,0,0,1,1,0,0,0,1,0,0,0,0
92,P92,PB,1,1,ProductDesigner,うん、シックな感じ。,"Yeah, it's chic.",0,0,0,1,0,0,0,1,0,0,0,0
93,P93,PA,1,1,ProductDesigner,シックで洗練されたって感じが。,It feels chic and sophisticated.,0,0,0,1,0,0,0,1,0,0,0,0
94,P94,PB,1,1,ProductDesigner,あー、革。白、黒。,"Uh, leather. White, black.",0,1,0,0,0,0,0,1,0,0,0,0
95,P95,PC,1,1,ProductDesigner,うん。〓パンパン〓●。,"Yup. Pan, pan●.",0,1,0,0,0,0,0,1,0,0,0,0
96,P96,PB,1,1,ProductDesigner,〓パン〓。ブラウン。白。,Pan. Brown. White.,0,1,0,0,0,0,0,1,0,0,0,0
97,P97,PA,1,1,ProductDesigner,ま、色はね、もう流行色だからね、ZARAも。白、黒なイメージある、うちも。,"Well, colors are already in vogue, and so ZARA is. I have an image of black and white.",0,1,0,1,0,0,0,1,0,0,0,0
98,P98,PC,1,1,ProductDesigner,"あとちょっと，これ,なんだか今週の新商品ってのを選んだんだけど，●も作っているし，柄物とか，レディｰスだったらけっこうガーリーなやつ？もやってるっぽい。","On the page of this week's new items, they have some patterned and quite girly items.",0,0,0,0,0,0,1,0,0,0,0,0
99,P99,PA,1,1,ProductDesigner,でも、多分、ズボンを履いてらっしゃる限りオトナなんだよね、ZARAの中では。,"But the user are wearing pants, so the user might be a adult, in ZARA.",0,0,1,1,0,0,0,1,0,0,0,0
100,P100,PB,1,1,ProductDesigner,ガーリー。,Girly,0,0,0,0,0,0,0,1,0,0,0,0
101,P101,PC,1,1,ProductDesigner,ふん，ふん，ふん，ふん。,"Hum, hum, hum, hum,",0,0,0,0,0,0,0,1,0,0,0,0
102,P102,PB,1,1,ProductDesigner,この辺の……。もうちょっと色あるな。,"There's a little bit more. The color is...,",0,0,0,0,0,0,1,0,0,0,0,0
103,P103,PA,1,1,ProductDesigner,色が●あれだね．ごめん，イケメンが出てきた。,"The color is - that's it ... . Sorry, a handsome man came out.",0,0,0,1,0,0,1,0,0,0,0,0
104,P104,PC,1,1,ProductDesigner,これ，レディ−スだから，たぶん女性やで。,There may be woman because this page is for ladies.,0,0,0,0,0,0,1,0,0,0,0,0
105,P105,PA,1,1,ProductDesigner,あ、女性なんだ。イケメンかと思った。,"Oh, that was a woman. I thought there is a handsome man.",0,0,0,0,0,0,1,0,0,0,0,0
107,P107,PC,1,1,ProductDesigner,でも、色味は〓持って〓いいと思うんですよね。,But I think it's okay to have color.,0,1,0,1,0,0,0,1,0,0,0,0
108,P108,PA,1,1,ProductDesigner,うん。これっぽい感じ●。スカートでも。何かね、動作だよね、あとは。,"Yeah, it's like this. Even in a skirt. It's something about the action, you know?",1,1,0,1,0,0,0,1,0,0,0,0
109,P109,PB,1,1,ProductDesigner,あー。,Ah.,1,1,0,0,0,0,0,1,0,0,0,0
110,P110,PA,1,1,ProductDesigner,財布を開くとか、そういう系の動作。,Opening a wallet or some other type of action.,1,1,0,1,0,0,0,1,0,0,0,0
111,P111,PB,1,1,ProductDesigner,動作。,Action.,1,1,0,1,0,0,0,1,0,0,0,0
112,P112,PA,1,1,ProductDesigner,今、ちなみに、使ってるお財布はどういう形ですか。,"By the way, what shape is the wallet you are using right now?",0,1,1,0,0,0,1,0,0,0,0,0
113,P113,User,1,1,ProductDesigner,あ、えーと、どういう形？,"Oh, um, ""what form""?",0,1,1,0,0,0,1,0,0,0,0,0
114,P114,PA,1,1,ProductDesigner,何か、がま口とかいろいろあるじゃないですか。長財布とか。,There are various kinds of wallets like Gamaguchi. Or long wallets.,0,1,1,0,0,0,1,0,0,0,0,0
115,P115,User,1,1,ProductDesigner,えっとー、二つ折りの。,"Let's see, it is bifold...",0,1,1,0,0,0,1,0,0,0,0,0
116,P116,PB,1,1,ProductDesigner,二つ折り。,Bifold.,0,1,1,0,0,0,1,0,0,0,0,0
117,P117,User,1,1,ProductDesigner,んと、こういう形。,The form is like this one.,0,1,1,0,0,0,1,0,0,0,0,0
118,P118,PA,1,1,ProductDesigner,短い、なるほど。やっぱ小さめな。,"Short, I see. I knew it was small.",0,1,1,0,0,0,1,0,0,0,0,0
119,P119,PB,1,1,ProductDesigner,小さめの。カード、ポイントカードとか多いですか。,"Small. Do you have many cards, loyalty cards, etc.?",0,1,1,0,0,0,1,0,0,0,0,0
120,P120,User,1,1,ProductDesigner,ポイントカード持たないです。,I don't have a loyalty card.,0,0,1,0,0,0,1,0,0,0,0,0
121,P121,PB,1,1,ProductDesigner,持たない。ってことは。,You don't have it. Which means.,0,0,1,1,0,0,0,1,0,0,0,0
122,P122,PA,1,1,ProductDesigner,うん、じゃあ。,"Yeah, then.",0,0,1,1,0,0,0,1,0,0,0,0
123,P123,PB,1,1,ProductDesigner,薄くていいんじゃない？ ミニマリストっぽい感じ●。,"Thin is also good, right? Minimalist-like feeling ●.",0,1,1,1,0,0,0,1,0,0,0,1
124,P124,PC,1,1,ProductDesigner,そうだよね。,That's right.,0,1,1,1,0,0,0,1,0,0,0,0
125,P125,PA,1,1,ProductDesigner,そうだね。,"Yes, it is.",0,1,1,1,0,0,0,1,0,0,0,0
126,P126,PC,1,2,ProductDesigner,だったら，だったらあれじゃないかな？なんかあったな。,"Then, then, isn't that it? I've got something....",0,0,0,1,0,1,0,0,0,0,0,0
127,P127,PB,1,2,ProductDesigner,30分でしょ？,"30 minutes, right?",0,0,0,0,0,1,0,0,0,1,0,1
128,P128,PA,1,2,ProductDesigner,今どこら辺？ 10分か。,Where are you? Ten minutes.,0,0,0,0,0,1,0,0,0,0,1,1
131,P131,PB,1,2,ProductDesigner,●10分。,● 10 minutes.,0,0,0,0,0,0,0,1,0,0,1,0
132,P132,PA,1,2,ProductDesigner,40分開始●。,40 minutes start ●.,0,0,0,0,0,0,0,1,0,0,1,0
134,P134,PA,1,2,ProductDesigner,はい。,Yes.,0,0,0,0,0,0,1,0,0,1,0,0
135,P135,PB,1,2,ProductDesigner,はい。,Yes.,0,0,0,0,0,0,1,0,0,1,0,0
136,P136,PA,1,2,ProductDesigner,いや、もう時間ないよ。,"No, I don't have time for this.",0,0,0,1,0,0,0,1,0,0,1,0
137,P137,PC,1,2,ProductDesigner,そうだね。,"Yes, it is.",0,0,0,1,0,0,0,1,0,0,1,0
138,P138,PA,1,2,ProductDesigner,●作ってみたら●。えー、ちょっと待って。うちね、●近い●。どうしよう。●お金入れてますか。キャッシュレスですか。,"Why don't you make it? Oh, wait a minute. I am... It close... What should I do? Do you put money in a wallet? Do you prefer cashless?",0,0,1,1,1,0,1,0,0,1,0,0
139,P139,User,1,2,ProductDesigner,お金は少ないけど入れてます。,"The money is small, but I put it in.",0,0,1,0,0,0,1,0,0,0,0,0
140,P140,PA,1,2,ProductDesigner,入れて、キャッシュレスも使ってますか。,Do you put it in and use cashless as well?,0,0,1,0,0,0,1,0,0,0,0,0
141,P141,User,1,2,ProductDesigner,キャッシュレスも使います。,Cashless is also used.,0,0,1,0,0,0,1,0,0,0,0,0
142,P142,PA,1,2,ProductDesigner,あー、なるほど。,"Ah, I see.",0,0,1,0,0,0,1,0,0,0,0,0
143,P143,PB,1,2,ProductDesigner,小銭は●。5円以下は持ちたくないとかありますか？,Coins. don't want to carry less than 5 yen?,0,0,1,0,0,0,1,0,0,0,0,0
144,P144,User,1,2,ProductDesigner,5円以下は持ちたくないけど、持たざるを得ない●。,"I don't want to carry less than 5 yen, but I have to ●.",0,0,1,0,0,0,1,0,0,0,0,0
145,P145,PA,1,2,ProductDesigner,お財布別に分けてないですよね？小銭と。●。,"You don't have separate wallets, do you? With coins. ●.",0,0,1,0,0,0,1,0,0,0,0,0
146,P146,User,1,2,ProductDesigner,うん、分けてない。,"Yes, I don't separate them.",0,0,1,0,0,0,1,0,0,0,0,0
147,P147,PA,1,2,ProductDesigner,そうですよね，一緒ですよね。,"I see, these are in the same (place).",0,0,1,0,0,0,1,0,0,0,0,0
148,P148,PC,1,2,ProductDesigner,ファーストプロトタイプでどこまで作れば良いんだろうね．中の．●．はさすがに無理しょ．側，そうだね．色味的に，●のニュアンス的に，これも入れて良いかもしれない．そこまで色パンのやつはいらないとして。,"I wonder how far I should go with the first prototype .................... We can't create inside.... The side, well... It might be good to put this in, too, in terms of color and the nuance of the ●. I don't need vivid colors.",0,1,0,1,1,1,0,1,0,1,0,1
149,P149,PB,1,2,ProductDesigner,外．色味この辺かな．．。,Outside. The Colors are like these.,0,1,0,1,1,0,0,1,0,0,0,0
150,P150,PB,1,2,ProductDesigner,外これ，中これ，って感じ。,"Outside this, inside that.",0,1,0,1,1,0,0,1,0,0,0,0
151,P151,PC,1,2,ProductDesigner,あー，そうね．時間的にここから要素絞った方がいい気がする。,"Ah, yes. I think it's better to focus on the elements from here in terms of time.",0,1,0,1,1,0,0,1,0,1,0,0
152,P152,PA,1,2,ProductDesigner,ちなみに、今のお財布は何でそのお財布選んだんですか。,"By the way, why did you choose the current wallet?",0,0,1,0,0,0,1,0,0,0,0,0
153,P153,User,1,2,ProductDesigner,えっと、デザインがすてきだから。,"Well, because the appearance design is nice.",0,1,1,0,0,0,1,0,0,0,0,0
154,P154,PA,1,2,ProductDesigner,あー、なるほど。何か、がま口とかあったりするじゃないですか。がま口とか持ったことありますか？。,"Ah, I see. There are some things like ""Gamaguchi,"" aren't there? Have you ever held a Gamaguchi?",0,0,1,0,0,0,1,0,0,0,0,0
155,P155,User,2,2,ProductDesigner,あります。,"Yes, I had.",0,0,1,0,0,0,1,0,0,0,0,0
156,P156,PA,2,2,ProductDesigner,かわいいかったからがま口ってことですか？,You mean you have a Gamaguchi because it was cute?,0,1,1,0,0,0,1,0,0,0,0,0
157,P157,User,2,2,ProductDesigner,がばって開くのがいいかなって思って●。,I thought it would be good to open widley.,1,0,1,0,0,0,1,0,0,0,0,0
158,P158,PA,2,2,ProductDesigner,ああ、機能性的にってことですか。なるほど。,"Oh, you mean functionally? I see.",1,0,1,0,0,0,1,0,0,0,0,0
159,P159,PC,2,2,ProductDesigner,作るの１個でいいんでしょう？,"We only need one to make it, right?",0,0,0,0,0,1,0,0,0,1,0,1
160,P160,PB,2,2,ProductDesigner,1個で。,1 piece.,0,0,0,0,0,0,0,1,0,1,0,0
161,P161,PC,2,2,ProductDesigner,じゃあ、この段階で4色ぐらいに絞って。で，PAも含めて色を決定しよう．あ，じゃあ，今PAいるなら，この段階で色を決めちゃおう。,"Then narrow it down to about four colors at this stage. Then, let's decide on the colors, with PA. Oh, well, if PA joins now, let's decide on the colors at this stage.",0,1,0,1,1,0,0,1,0,1,0,1
162,P162,PA,2,2,ProductDesigner,作りたいやつ？,The one you want to make?,0,1,0,0,1,0,0,1,0,0,0,1
163,P163,PB,2,2,ProductDesigner,とりあえず．ZARA，ZARA的イメージで色を絞ってみたの。,We are narrowing colors with a ZARA-like image.,0,1,0,1,1,0,0,1,0,0,0,0
164,P164,PA,2,2,ProductDesigner,ああ。えっと、こっち？,"Oh. Uh, this way?",0,1,0,0,1,0,0,1,0,0,0,1
165,P165,PC,2,2,ProductDesigner,で、そっから。でも、プロトに落とすのは1つだから。,And so on. But it's one for the prototype.,0,0,0,0,1,0,0,1,0,0,0,0
166,P166,PA,2,2,ProductDesigner,なんか微妙な感じ．．．これは、でも、いっか。試作で作ればいっか。,"It's kind of subtle ... This is, but okay. But, okay for creating as a prototype.",0,0,0,1,1,0,0,1,0,0,0,0
167,P167,PC,2,2,ProductDesigner,まあね。,Oh well.,0,0,0,0,1,0,0,1,0,0,0,0
168,P168,PA,2,2,ProductDesigner,あー、色？ ね、黒かな。黒か、ま、白は持っときたい。え、あとは何だろう。え、でも、全然ありそうだけどね。でも、紺はうち、あんま見ない感じするけど、どう？ ま、でも女性だからありかなとは思うけど。,"Uh, color? Hey, maybe black. Black, well, I'd like to have white. Eh, what else? Well, I'm sure there are a lot of them. But I feel like I don’t see much navy blue, do you? Well, I think it is possible because the user is a woman.",0,1,1,1,1,0,0,1,0,0,0,1
169,P169,PB,2,2,ProductDesigner,〓こう思う〓。こう。,I think this. This.,0,1,0,1,1,0,0,1,0,0,0,1
170,P170,PC,2,2,ProductDesigner,うん。っていうか、この●ちょっと主張強過ぎる●。,"Right, by the way, I mean, this one is a little too assertive.",0,1,0,1,1,0,0,1,0,0,0,0
171,P171,PA,2,2,ProductDesigner,それね、思った。,That's what I thought.,0,1,0,1,1,0,0,1,0,0,0,0
172,P172,PB,2,2,ProductDesigner,●よね。,"I know, right?",0,1,0,1,1,0,0,1,0,0,0,1
173,P173,PA,2,2,ProductDesigner,これいいよね。,This is nice.,0,1,0,1,1,0,0,1,0,0,0,0
174,P174,PB,2,2,ProductDesigner,うん。,Yeah.,0,1,0,1,1,0,0,1,0,0,0,0
175,P175,PC,2,2,ProductDesigner,こいつは省いていい気がする●。,I feel like we can leave this one out●.,0,1,0,1,1,0,0,1,0,0,0,0
176,P176,PA,2,2,ProductDesigner,うち、個人的にこの茶色もあんま好きじゃない。,I personally don't like this brown color much either.,0,1,0,1,1,0,0,1,0,0,0,0
177,P177,PC,2,2,ProductDesigner,あー。,Ah.,0,1,0,0,1,0,0,1,0,0,0,0
178,P178,PB,2,2,ProductDesigner,ちょっとおばさんチック。,It's old-fashioned.,0,1,0,1,1,0,0,1,0,0,0,0
179,P179,PA,2,2,ProductDesigner,何か、土の色感がすごいよね。これだったら、まあ、全然あれだ、あれ。これ●。,"There's something about the color of the dirt that's just amazing. If it is this, well, it's totally that, that. This one.",0,1,0,1,1,0,0,1,0,0,0,0
180,P180,PB,2,2,ProductDesigner,これ、何か普通過ぎない？何か。,Isn't this something too normal? Something.,0,1,0,1,1,0,0,1,0,0,0,1
181,P181,PA,2,2,ProductDesigner,もう、だって、一見オレンジじゃん。,"Already, because, at first glance, it's orange.",0,1,0,1,1,0,0,1,0,0,0,0
182,P182,PC,2,2,ProductDesigner,じゃあ，省く？,Do you want to remove this color?,0,1,0,0,1,0,0,1,0,0,0,1
183,P183,PA,2,2,ProductDesigner,どう思う？ＰＣ？,"What do you think, PC?",0,1,0,0,1,0,0,1,0,0,0,1
184,P184,PB,2,2,ProductDesigner,あー、微妙だね、何か、こう。,"Oh, it's subtle, something like this.",0,1,0,1,1,0,0,1,0,0,0,0
